,dummy_spring,sale_year,title,artist,artist_birth_year 1,artist_alive,Medium,execution_year,height,width,dummy_signed,num_owners,num_exhibits,num_lit,lot_number,house_estimate_lower,house_estimate_upper,sale_price,sold
132,1,2012,CONCETTO SPAZIALE,26,1899,0,2,1962.0,81.0,60.0,1,7,1,4,40,1200000,1800000,3050500.0,1
133,1,2012,UNTITLED,22,1904,0,8,1974.0,230.8,106.4,0,4,1,0,24,5500000,7500000,3849999.9999999995,0
134,1,2012,RING,58,1960,0,7,1981.0,152.4,121.9,1,1,3,1,4,4000000,6000000,7642500.0,1
135,1,2012,ABSTRAKTES BILD,128,1932,1,8,1991.0,112.0,102.0,1,5,1,1,14,2800000,3500000,4954500.0,1
136,1,2012,STUDY FOR A PORTRAIT,74,1909,0,8,1978.0,35.5,30.5,1,5,1,1,42,4000000,6000000,4282500.0,1
137,1,2012,FIGURE WRITING REFLECTED IN MIRROR,74,1909,0,8,1976.0,198.0,147.0,1,2,6,9,19,30000000,40000000,44882500.0,1
138,0,2012,ANT SU 27,20,1928,0,2,1961.0,155.0,59.7,1,1,1,0,2,1000000,1500000,4338500.0,1
139,0,2012,SPLIT,128,1932,1,8,1989.0,112.0,102.0,1,2,2,1,34,3000000,4000000,4450500.0,1
140,0,2012,THE DREAM OF THE DOCTOR,37,1962,1,8,1997.0,198.1,154.9,1,5,4,1,47,3000000,5000000,2322500.0,1
141,0,2012,ENGADIN II,86,1955,1,4,2006.0,307.0,205.0,1,2,3,0,44,1000000,1500000,700000.0,0
142,0,2012,HAMMER AND SICKLE,93,1928,0,7,1977.0,183.0,218.5,1,5,2,1,35,3000000,4000000,3442500.0,1
143,0,2012,AEGEAN CRIME,104,1931,1,8,1987.0,198.1,404.5,0,3,4,1,71,350000,500000,386500.0,1
144,0,2012,ONION GUM,58,1960,0,7,1983.0,198.1,203.2,0,3,5,2,42,7000000,9000000,7362500.0,1
145,0,2012,UNTITLED,45,1928,0,8,1960.0,74.0,100.0,0,5,1,1,25,2000000,3000000,1400000.0,0
146,0,2012,OHNE TITEL (SILBERBILD),4,1941,0,2,1986.0,304.8,226.1,1,5,2,1,36,800000,1200000,4114500.0,1
147,0,2012,IMPATIENCE,116,1904,0,8,1945.0,62.2,77.5,1,9,7,7,12,6000000,8000000,6802500.0,1
148,0,2012,UNTITLED (DE KOONING),49,1949,1,7,2007.0,122.0,223.5,0,2,1,0,68,600000,800000,638500.0,1
149,0,2012,NIRVANA,42,1880,0,8,1963.0,192.4,121.9,1,1,3,1,9,5000000,7000000,4562500.0,1
150,0,2012,UNTITLED (POPE),74,1909,0,8,1954.0,152.0,94.0,0,1,6,1,26,18000000,25000000,29762500.0,1
151,0,2012,THE CASTLE OF TIN TIN,69,1962,1,7,1998.0,300.0,300.0,0,2,4,3,43,4000000,6000000,4226500.0,1
152,0,2012,SHENANDOAH,7,1910,0,8,1956.0,144.8,205.7,1,6,5,8,8,6500000,8500000,9322500.0,1
153,0,2012,LA PLAYA NUEVA,73,1954,1,8,2002.0,200.0,200.0,1,2,1,0,69,450000,650000,530500.0,1
154,0,2012,FLOWERS,93,1928,0,4,1964.0,61.0,61.0,1,3,1,0,30,1500000,2000000,2490500.0,1
155,0,2012,"UNTITLED (STUDY FOR UNTITLED, 1961)",7,1910,0,4,1961.0,27.3,35.5,1,1,3,1,16,80000,120000,230500.0,1
156,0,2012,1948-H,101,1904,0,8,1948.0,190.5,176.8,1,3,5,2,14,15000000,20000000,9882500.0,1
157,0,2012,UNTITLED,7,1910,0,4,1958.0,48.8,34.0,1,1,1,0,18,150000,250000,566500.0,1
158,0,2012,ABSTRACT PAINTING NO. 11,118,1913,0,8,1961.0,152.4,152.4,1,3,2,0,56,800000,1200000,560000.0,0
159,0,2012,SUICIDE,93,1928,0,4,1962.0,101.6,76.2,1,5,8,1,31,6000000,8000000,16322500.0,1
160,0,2012,MARTINSON COFFEE,93,1928,0,4,1962.0,70.0,53.3,0,1,1,0,38,3000000,4000000,2100000.0,0
161,0,2012,UNTITLED,62,1925,0,8,1959.0,199.4,200.7,0,2,1,0,11,6000000,8000000,6242500.0,1
162,0,2012,CHOCOLATE MERANGUE,19,1920,1,8,1961.0,45.7,61.0,1,2,2,0,39,1000000,1500000,3498500.0,1
163,0,2012,I. G.,128,1932,1,8,1993.0,72.0,102.0,1,5,6,7,28,3000000,4000000,3442500.0,1
164,0,2012,BREAD WITH EGG,129,1955,1,8,1997.0,325.1,274.3,1,2,4,3,48,3500000,4500000,2450000.0,0
165,0,2012,RUSTING RED CAR IN KUAU,58,1960,0,8,1984.0,182.8,243.8,1,3,2,3,67,2000000,3000000,2098500.0,1
166,0,2012,THE KISS (BELA LUGOSI),93,1928,0,4,1963.0,75.6,101.3,1,3,6,1,32,4500000,6500000,9266500.0,1
167,0,2012,SHIP TALK,136,1937,1,7,1988.0,142.2,340.4,1,9,4,3,49,1000000,1500000,700000.0,0
168,0,2012,NO. 1 (ROYAL RED AND BLUE),99,1903,0,8,1954.0,288.9,171.5,1,6,5,5,19,35000000,50000000,75122500.0,1
169,0,2012,SANCTIMONY,102,1965,1,2,2007.0,213.4,213.4,1,2,1,0,64,1200000,1800000,1314500.0,1
170,0,2012,L'HOMME AUX COCARDES,100,1901,0,8,1952.0,130.0,97.0,1,5,2,1,52,1500000,2000000,1370500.0,1
171,0,2012,ELEGY TO THE SPANISH REPUBLIC #122,57,1915,0,8,1972.0,141.6,193.0,1,3,1,0,24,2800000,3500000,3666500.0,1
172,0,2012,ABSTRACTION,133,1904,0,8,1949.0,61.9,82.6,1,5,1,0,13,15000000,20000000,19682500.0,1
173,0,2012,I.G.,128,1932,1,8,1993.0,72.0,82.0,1,5,6,7,29,3000000,4000000,3442500.0,1
174,0,2012,JOHN LURIE,58,1960,0,8,1982.0,108.5,76.5,1,5,1,0,41,1000000,1500000,1022500.0,1
175,0,2012,THE HOUSE,49,1949,1,7,2007.0,197.8,205.7,1,2,1,0,66,600000,800000,420000.0,0
176,0,2012,CAGNEY,93,1928,0,4,1962.0,76.2,101.6,1,3,6,1,33,4500000,6500000,6578500.0,1
177,0,2012,SMALL YELLOW SQUARE,7,1910,0,4,1950.0,35.0,42.5,0,1,3,1,17,200000,300000,506500.0,1
178,0,2012,"TOWARDS AN INTERNATIONAL SOCIALISM (AFTER ""ICEBERGS IN SPACE"" 1989 BY CHRIS FOSS)",98,1966,1,8,1996.0,221.0,327.5,1,2,3,0,45,3500000,4500000,4002500.0,1
179,0,2012,UNTITLED,36,1938,1,8,1970.0,102.2,64.2,1,1,1,0,59,600000,800000,420000.0,0
180,0,2012,UNTITLED,45,1928,0,0,1972.0,69.2,99.0,1,3,1,0,5,350000,550000,422500.0,1
181,0,2012,STUDY FOR HEAD OF ISABEL RAWSTHORNE,74,1909,0,8,1967.0,35.5,30.5,0,5,1,1,27,9000000,12000000,9322500.0,1
182,0,2012,UNTITLED,35,1972,1,4,2007.0,214.0,175.3,1,3,1,0,65,500000,700000,782500.0,1
183,0,2012,CRIMES OF PASSION I,45,1928,0,8,1960.0,190.5,200.0,0,6,2,3,23,4000000,6000000,5794500.0,1
184,0,2012,UNTITLED,62,1925,0,8,1961.0,300.0,200.0,1,3,1,0,21,4500000,6000000,5122500.0,1
185,0,2012,"NUMBER 4, 1951",111,1912,0,8,1951.0,76.5,63.5,1,12,3,2,10,25000000,35000000,40402500.0,1
186,0,2012,TRANSFIGURATION,96,1903,0,8,1958.0,228.6,152.4,1,6,6,3,7,3000000,5000000,4450500.0,1
187,0,2012,"CONCETTO SPAZIALE, ATTESE",26,1899,0,8,1965.0,81.0,100.0,1,2,3,0,54,1600000,2000000,3666500.0,1
188,1,2013,HEAD,68,1955,1,6,1992.0,132.1,91.4,1,2,1,0,8,2000000,3000000,2045000.0,1
189,1,2013,COUNTY CLARE,62,1925,0,8,1960.0,167.6,289.6,1,5,3,1,43,4500000,6000000,4981000.0,1
190,1,2013,MOUTH #3,3,1931,0,8,1966.0,139.7,175.3,1,5,1,0,29,1200000,1800000,1085000.0,1
191,1,2013,POTABLE WATER,76,1961,1,7,2005.0,330.2,497.8,0,2,1,0,63,600000,800000,701000.0,1
192,1,2013,SELF-PORTRAIT (CAMOUFLAGE),93,1928,0,7,1986.0,203.2,203.2,0,5,4,1,34,7000000,9000000,6997000.0,1
193,1,2013,MERRY WIDOW,105,1969,1,8,1998.0,193.0,248.9,1,4,1,0,62,700000,1000000,965000.0,1
194,1,2013,CHAMPS,62,1925,0,8,1990.0,240.0,200.0,1,4,1,0,26,1800000,2500000,2165000.0,1
195,1,2013,UNTITLED,24,1930,1,8,2012.0,91.4,68.6,1,1,1,0,48,1500000,2000000,2853000.0,1
196,1,2013,PURPLE AND YELLOW ABSTRACTION,85,1957,1,7,12.3,147.3,167.6,1,1,1,0,5,300000,400000,1055000.0,1
197,1,2013,LOESUNGEN I - IV [SOLUTIONS I - IV],4,1941,0,2,1969.0,150.0,125.0,0,5,5,0,40,3000000,4000000,3525000.0,1
198,1,2013,STRANGER #64,40,1960,1,8,2012.0,243.8,182.9,1,1,1,0,4,350000,450000,1265000.0,1
199,1,2013,UNTITLED (P2),68,1955,1,6,1986.0,182.9,121.9,1,7,1,0,53,800000,1200000,1145000.0,1
200,1,2013,LYDIAN,37,1962,1,8,2013.0,71.1,50.8,0,1,1,0,3,500000,700000,2965000.0,1
